xdata trig1 trig2 trig3 trig4
s hz hz hz hz
-3.141592653589793 2.4492935982947064e-16 0.5877852522924732 0.8990975838108815 -1.2246467991473532e-16
-2.941592653589793 0.389418342308651 0.6352394564969771 0.7758810809200245 -0.1986693307950615
-2.7415926535897928 0.7173560908995235 0.6804074846343833 0.6640362799144504 -0.3894183423086509
-2.5415926535897926 0.9320390859672268 0.7231267805790138 0.5628469922226835 -0.5646424733950359
-2.3415926535897924 0.9995736030415051 0.7632436009967717 0.47166526093703576 -0.7173560908995233
-2.1415926535897922 0.9092974268256808 0.8006135686551203 0.3899072116772322 -0.8414709848078971
-1.941592653589792 0.6754631805511492 0.8351021920252117 0.3170493138009942 -0.9320390859672267
-1.7415926535897919 0.33498815015590233 0.8665853493061576 0.2526250280205624 -0.9854497299884604
-1.5415926535897917 -0.05837414342758299 0.8949497351294762 0.19622181895846258 -0.9995736030415051
-1.3415926535897915 -0.44252044329485546 0.9200932683360646 0.14747851351266728 -0.9738476308781948
-1.1415926535897913 -0.7568024953079308 0.9419254593581367 0.10608298811567662 -0.9092974268256809
-0.9415926535897912 -0.9516020738895172 0.9603677358839497 0.07177017007807596 -0.808496403819589
-0.741592653589791 -0.9961646088358402 0.9753537256332797 0.04432034021835074 -0.6754631805511493
-0.5415926535897908 -0.883454655720151 0.9868294952259558 0.023557725909988614 -0.5155013718214622
-0.34159265358979063 -0.6312666378723173 0.9947537442837884 0.009349375536571891 -0.33498815015590244
-0.14159265358979045 -0.27941549819892053 0.9990979540673315 0.0016043071475277948 -0.14112000805986447
0.058407346410209726 0.11654920485049917 0.9998464901125477 0.0002729258630256304 0.05837414342758287
0.2584073464102099 0.49411335113861377 0.9969966584979962 0.00534670629742684 0.25554110202683433
0.4584073464102101 0.7936678638491571 0.9905587155400408 0.016858137967710407 0.44252044329485535
0.6584073464102103 0.9679196720314882 0.9805558308811858 0.034880933337303244 0.6118578909427218
0.8584073464102104 0.9893582466233807 0.967024004104384 0.05953049982750391 0.7568024953079306
1.0584073464102106 0.8545989080882767 0.9500119351734126 0.09096467881898818 0.87157577241359
1.2584073464102108 0.5849171928917557 0.9295808491655932 0.1293847563755246 0.9516020738895172
1.458407346410211 0.22288991410023873 0.905804275927629 0.17503675216198666 0.993691003633465
1.6584073464102111 -0.17432678122298864 0.8787677854475585 0.22821299481013257 0.9961646088358402
1.8584073464102113 -0.5440211108893774 0.8485686798952041 0.2892539938198788 0.9589242746631371
2.0584073464102115 -0.8278264690856588 0.8153156434394339 0.35855061998261784 0.883454655720151
2.2584073464102117 -0.9809362300664933 0.7791283511025184 0.4365466082887415 0.7727644875559843
2.458407346410212 -0.9791777291513152 0.7401370380592847 0.5237413993465168 0.6312666378723173
2.658407346410212 -0.8228285949687026 0.6984820309311228 0.6206933375071009 0.46460217941375254
2.858407346410212 -0.5365729180004257 0.654313242761685 0.7280232461746106 0.27941549819892064
3.0584073464102124 -0.16560417544829864 0.6077896334918137 0.8464184031954363 0.08308940281749097
